"Pot.ID","Population","Line","Replicate","Treatment","pot.labelled.","Labelled.Pot.Weight..g.","Pot...dry.Soil.Weight..g.","Soil.Added.Weight..g.","Soil.Mix.Batch.Number.x","Pot...wet.soil.weight..g.","Water.weight..g.","H20.g....soil..g.","First.Calc.of.FC.weight","oven.dried.soil..g.","oven.dried.soil...empty.pot..W0.","g.H20.at.FC..wf.W0.equivalent.","Notes.x","Soil.Mix.Batch.Number.y","Emergence","notes.x","Bolting","Flowering","Wilted_Died","Leaf_Collected","FreshWt_g","SatWt_g","DriedWt_g","Notes.y","LeafArea","LeafPerimeter","Scale..pixels.cm.","Notes.1","SLA","LDMC","RWC","LeafNum_.07222021","Notes.x","LeafNum_08262021","NumRemoved_08262021","RosetteLeafNum_10042021","StalkLeafNum_10042021","notes.y","RosetteLeafNum_bolt","notes.1","RosetteLeafNum_Flower","StalkLeafNum_Flower","notes.2","Harvest.Date","RosetteLeafNum","FreshRosetteG","DryRosetteG","FreshReproG","DryReproG","FreshRootG","DryRootG","Notes.y","Root_to_Shoot","Repro_to_Ros","IJ_FruitCount","FruitCounter","BranchStructure","LatBranches","PrimaryStalks","Height_cm","TotFruit","FruitCollected","FruitColLocation","DoneFlwr","NumFlwrLeft","Notes","FruitColWt_mg","SeedColWt_mg","ScanPosition","ScanPhotoName","IJ_SeedCount","SeedCounter","Notes2"
"B12-1-F","BELM","12","1","Future","yes","6.687","56.4096","49.7226","6","174.64","118.23","2.38","120.04","22.72","29.41",142.7,"","6","","mixed results","-","-","7/22/2021","-",NA,NA,NA,"dead after vern",NA,NA,"","",NA,NA,NA,0,"",0,"y",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B12-2-C","BELM","12","2","Current","yes","6.802","57.1293","50.3273","mix","182.34","125.21","2.49","121.50","23.00","29.80",144.44,"","mix","7/7/2021","mixed results; maybe just super late germination?","9/20/2021","10/4/2021","","10/4/2021",0.0468,0.0496,0.0038,"",2.989,11.942,"","",786.578947368421,0.0766129032258065,0.938864628820961,2,"",8,"n",17,6,"flower 10/4",NA,"",NA,NA,"","11/18/2021",14,"-",0.08191,"-",0.9133,"-",NA,"",NA,11.1500427298254,345,"TX","leaning",6,8,52.5,"698",10,"10,12,15,17,19,21,23,25,27,29","n","4","2 of the primary stalks were noted as tiny",20.63,13.48,"6","3",496,"CH",""
"B12-2-CF","BELM","12","2","Current/Future","yes","6.877","57.3121","50.4351","2","187.26","129.95","2.58","121.76","23.05","29.92",144.75,"","2","7/7/2021","mixed results","-","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,2,"",0,"y",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B12-2-F","BELM","12","2","Future","yes","6.929","56.6759","49.7469","5","172.78","116.10","2.33","120.10","22.73","29.66",142.77,"","5","6/29/2021","","9/13/2021","9/28/2021","","9/28/2021",0.0221,0.0273,0.0034,"",1.255,6.84,"","",369.117647058824,0.124542124542125,0.782426778242678,8,"",17,"n",28,34,"",NA,"",NA,NA,"flowered 9/28","11/4/2021",26,"0.5484",0.08423,"0.9941",0.29186,"-",NA,"",NA,3.46503621037635,161,"SB","broken",8,10,23.5,"173",9,"7,8,9,12,16,18,19,21,23,25","n","16","break is near the top; 9 primary stalks noted as tiny",20.14,13.88,"1","11",494,"SB","SB recounted seeds 8/15 and got 494; old was 508. SB recounted fruits 8/15/2024 and got 161. Trevor's (TM) old count was 185 but switching to mine b/c lots of small that did not make fruit that I did not count that he likely did"
"B13-1-C","BELM","13","1","Current","yes","6.836","56.5054","49.6694","5","180.32","123.81","2.49","119.91","22.70","29.53",142.55,"","5","7/12/2021","looks empty on 7/7 and 7/8; not empty on 7/12… maybe it lost the toothpick? I don't think I took it out. Not empty on 7/13. check photos for exact date if this isn't it. Best photo date is between 7/8 and 7/12 so going with 7/12 because that is whent I noted it and took a photo.","9/23/2021","10/5/2021","","10/5/2021",0.0755,0.0844,0.0055,"",4.626,15.178,"","",841.090909090909,0.0651658767772512,0.887198986058302,4,"",8,"n",16,6,"",NA,"",NA,NA,"flowered 10/5","11/18/2021",16,"-",0.11991,"-",0.9473,"-",NA,"",NA,7.90009173546827,220,"TM","bent",6,13,59,"696",10,"13,15,18,21,23,25,27,29,31,33","n","14","2 of the primary stalks were noted as tiny",16.4,10.64,"1","8",474,"EA",""
"B13-1-CF","BELM","13","1","Current/Future","yes","6.544","56.9908","50.4468","7","150.48","93.49","1.85","121.79","23.05","29.60",144.78,"","7","8/3/2021","into vernalization before emerged","-","","","",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,0,"",0,"y",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13-1-F","BELM","13","1","Future","yes","6.997","57.3161","50.3191","8","171.99","114.67","2.28","121.48","22.99","29.99",144.42,"","8","6/29/2021","","-","-","","-",NA,NA,NA,"dead after vern",NA,NA,"","",NA,NA,NA,2,"looks dead",0,"y",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13-2-C","BELM","13","2","Current","yes","6.53","56.6996","50.1696","7","170.26","113.56","2.26","121.12","22.93","29.46",143.99,"","7","6/29/2021","","9/22/2021","10/5/2021","","10/5/2021",0.118,0.1314,0.0088,"",5.611,17.477,"","from a cutoff leaf; not cutoff leaf is a converted image and is smaller than this",637.613636363636,0.0669710806697108,0.890701468189233,6,"",12,"n",23,9,"bolted 10/5",NA,"bolted 10/5",NA,NA,"","11/18/2021",21,"-",0.17217,"-",1.7123,"-",NA,"",NA,9.94540279955858,824,"TM","bent",10,10,66,"932",10,"12,14,16,18,20,22,24,26,28,30","n","6","1 of the 10 was noted as tiny and 1 additional primary stalk was not counted because noted as no flowers",15.66,9.71,"8","5",418,"CC",""
"B13-2-CF","BELM","13","2","Current/Future","yes","6.833","56.806","49.973","3","175.5","118.69","2.38","120.64","22.84","29.67",143.42,"","3","7/1/2021","","9/15/2021","9/24/2021","","9/24/2021",0.0211,0.0265,0.0023,"collectect twice",1.212,6.391,"","",526.95652173913,0.0867924528301887,0.776859504132231,4,"",10,"n",18,22,"box around it",NA,"",NA,NA,"flowered 9/24","11/2/2021",19,"0.2758",0.03527,"1.394",0.27618,"-",NA,"",NA,7.83045080805217,259,"TM","bent",8,2,42,"260",9,"11,13,15,17,19,29,45,2 on sides","n","-","1 primary stalk was noted as tiny; siliques modly",14.71,9.99,"12","9",410,"SB","overestimate with all the dark/flat seeds: 427"
"B13-2-F","BELM","13","2","Future","yes","7.466","57.3145","49.8485","5","176.03","118.72","2.38","120.34","22.78","30.24",143.06,"","5","6/28/2021","","-","-","","-",NA,NA,NA,"dead after vern",NA,NA,"","",NA,NA,NA,4,"dying",0,"y",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B15-1-C","BELM","15","1","Current","yes","6.629","56.8652","50.2362","6","180.66","123.79","2.46","121.28","22.96","29.58",144.18,"","6","6/29/2021","","9/18/2021","10/1/2021","","10/1/2021",0.1776,0.1971,0.0123,"",8.495,18.239,"","from a cutoff leaf; not cutoff leaf is a converted image and is smaller than this",690.650406504065,0.0624048706240487,0.89448051948052,6,"",15,"n",25,19,"14 on lateral shoots",NA,"",NA,NA,"flowered 10/1","11/18/2021",24,"-",0.22981,"-",1.9204,"-",NA,"",NA,8.35646838692833,948,"TX","bent",9,13,66,"1201",10,"24,27,29,31,33,35,37,39,41,43","n","1","1 primary stalk was noted as tiny",18.88,11.87,"12","6",531,"CC",""
"B15-1-CF","BELM","15","1","Current/Future","yes","6.769","56.7421","49.9731","5","175.39","118.65","2.37","120.64","22.84","29.60",143.42,"","5","6/29/2021","","9/13/2021","9/22/2021","","9/22/2021",0.0275,0.0419,0.0049,"",1.602,7.026,"","",326.938775510204,0.116945107398568,0.610810810810811,6,"",15,"n",23,21,"10 on lateral shoots",NA,"",NA,NA,"flowered 9/22","11/5/2021",22,"0.2682",0.07411,"1.1654",0.33861,"-",NA,"",NA,4.5690190257725,224,"TM","bent",8,7,25,"238",8,"mostly all from sides. Not counted","y","0","4 primary stalks noted as tiny; 1 not counted was noted as no flower; siliques moldy",12.27,8.33,"10","10",269,"SB",""
"B15-1-F","BELM","15","1","Future","yes","6.551","57.0061","50.4551","3","171.14","114.13","2.26","121.81","23.06","29.61",144.81,"","3","6/28/2021","","9/20/2021","9/30/2021","","9/30/2021",0.0319,0.0392,0.0049,"not open 10/2; later open",1.644,6.716,"","",335.510204081633,0.125,0.787172011661808,10,"",21,"n",34,0,"",NA,"",NA,NA,"flowered 9/30","11/4/2021",30,"0.6328",0.10569,"1.1908",0.28721,"-",NA,"",NA,2.71747563629482,212,"TM","bent",11,11,25.5,"238",9,"10,12,14,17,19,23,26,2 on side","n","-","8 primary stalks ntoed as tiny",13.16,7.96,"6","6",318,"EA",""
"B15-2-C","BELM","15","2","Current","yes","6.696","56.8767","50.1807","8","175.68","118.80","2.37","121.14","22.93","29.63",144.02,"","8","6/30/2021","","9/19/2021","10/4/2021","","10/4/2021",0.1772,0.1901,0.0128,"",7.174,23.755,"","",560.46875,0.0673329826407154,0.927241962774958,6,"",14,"n",21,13,"19 on lateral shoots",NA,"",NA,NA,"flowererd 10/4","11/17/2021",21,"-",0.21264,"-",2.0927,"-",NA,"",NA,9.84151617757712,1069,"TM","bent",11,18,63.5,"1195",10,"14,16,18,20,22,24,26,28,30,32","n","3","3 primarystalks were noted as tiny",16.36,11.01,"1","5",475,"CC",""
