"Pot.ID","Population","Line","Replicate","Treatment","Soil.Mix.Batch.Number.x","Emergence","DayToBolt","DayToFlwr","FreshWt_g","SatWt_g","DriedWt_g","LeafArea","LeafPerimeter","SLA","LDMC","RWC","LeafNum_.07222021","LeafNum_08262021","NumRemoved_08262021","RosetteLeafNum_10042021","RosetteLeafNum_bolt","RosetteLeafNum_Flower","RosetteLeafNum","DryRosetteG","DryReproG","DryRootG","Root_to_Shoot","Repro_to_Ros","BranchStructure","LatBranches","PrimaryStalks","Height_cm","TotFruit","IJ_FruitCount","FruitCounter","FruitCollected","DoneFlwr","NumFlwrLeft","FruitColWt_mg","SeedColWt_mg","IJ_SeedCount","SeedCounter","AG_biomass","l10_FreshWt","l10_SatWt","l10_DriedWt","SQR_DriedWt","l10_LeafArea","l10_LeafPer","l10_SLA","l10_LDMC","SQR_DryRosG","l10_DryRosG","l10_DryReproG","l10_AG_biomass","l10_R_to_R","l10_IJ_Fruits","AvgSeedWt","l10_IJ_Seeds","SQR_IJ_Seeds","AvgSeedNum","l10_AvgSeedNum","fitness","l10_fitness"
"B12-14-CF","BELM","12","14","Current/Future","2",4,76,10,0.0299,0.0392,0.0048,1.644,7.149,342.5,0.122448979591837,0.729651162790698,7,19,"n",21,NA,NA,22,0.09545,0.24876,NA,NA,2.60618124672604,"bent",4,1,25.3,138,101,"TM",10,"y",0,21.12,14.2,458,"SB",0.34421,-1.52432881167557,-1.40671393297954,-2.31875876262441,0.0692820323027551,0.215901813204032,0.854245297066119,2.53466057582844,-0.91204482964487,0.308949834115508,-1.02022406727031,-0.604219451858514,-0.46317651668791,0.4160046154118,2.00432137378264,0.0310043668122271,2.66086547800387,21.4009345590327,45.8,1.66086547800387,4625.8,3.66518685178651
"B12-14-F","BELM","12","14","Future","4",3,78,21,0.0268,0.0324,0.004,1.537,6.848,384.25,0.123456790123457,0.802816901408451,10,21,"n",29,NA,NA,31,0.08627,0.26079,NA,NA,3.0229511997218,"bent",8,8,27,249,235,"TM",10,"y",0,14.65,8.63,363,"SB",0.34706,-1.57186520597121,-1.48945498979339,-2.39794000867204,0.0632455532033676,0.186673867499745,0.835563751669097,2.58461387617178,-0.90848501887865,0.293717551399299,-1.06414020196212,-0.58370906565516,-0.459595437553941,0.480431136306959,2.37106786227174,0.0237741046831956,2.55990662503611,19.0525588832576,36.3,1.55990662503611,8530.5,3.93097448730785
"B12-15-C","BELM","12","15","Current","3",5,79,19,0.1241,0.1407,0.0103,6.68,18.686,648.543689320388,0.0732054015636105,0.872699386503068,6,17,"n",24,NA,NA,20,0.22084,1.8799,0.17706,0.0842845854318002,8.5124977359174,"bent",6,10,59.5,1094,1007,"TM",10,"n",49,21.23,13.28,524,"CH",2.10074,-0.90622821850127,-0.851705902565254,-1.98716277529483,0.101488915650922,0.824776462475546,1.27151634451163,2.81193923777037,-1.13545687272957,0.469936165877878,-0.655922261531899,0.274134747878962,0.322372304879719,0.930057009410861,3.00302947055362,0.0253435114503817,2.71933128698373,22.8910462845192,52.4,1.71933128698373,52766.8,4.72236075753734
"B12-15-CF","BELM","12","15","Current/Future","mix",5,76,5,0.018,0.024,0.0034,1.181,6.347,347.352941176471,0.141666666666667,0.70873786407767,6,14,"n",22,NA,NA,23,0.06428,0.24164,NA,NA,3.75917859365277,"bent",7,8,24,128,118,"TM",10,"n",NA,17.41,11.43,412,"SB",0.30592,-1.74472749489669,-1.61978875828839,-2.46852108295775,0.058309518948453,0.0722498976135148,0.802568498313956,2.54077098057126,-0.848732324669351,0.253535007444731,-1.19192413190869,-0.616831172942571,-0.514392129403994,0.575092958966122,2.07188200730613,0.0277427184466019,2.61489721603313,20.2977831301844,41.2,1.61489721603313,4861.6,3.68677922333926
"B12-15-F","BELM","12","15","Future","5",3,78,16,0.0275,0.0323,0.0033,1.551,7.315,470,0.102167182662539,0.83448275862069,11,23,"n",31,NA,NA,33,0.09786,0.30559,NA,NA,3.12272634375639,"leaning",8,9,21,195,166,"TM",10,"y",0,20.84,14.06,538,"SB",0.40345,-1.56066730616974,-1.4907974776689,-2.48148606012211,0.0574456264653803,0.190611797813605,0.86421433046133,2.67209785793572,-0.990688582453215,0.312825830135556,-1.00939478857608,-0.514860861535735,-0.394210280197436,0.494533927040346,2.22010808804005,0.0261338289962825,2.73078227566639,23.1948270094864,53.8,1.73078227566639,8930.8,3.95089036370644
"B1-6-C","BELM","1","6","Current","3",5,80,24,0.1817,0.2013,0.0128,NA,NA,NA,0.0635866865375062,0.896021220159151,6,14,"n",22,NA,21,22,0.32695,2.156,NA,NA,6.59428047102003,"bent",10,11,61,944,888,"TM",10,"n",43,16,9.5,419,"CC",2.48295,-0.740645072691966,-0.696156225111345,-1.89279003035213,0.113137084989848,NA,NA,NA,-1.19663380524079,0.571795417959955,-0.485518658301217,0.333648756514701,0.394967974108438,0.819167414815918,2.9484129657786,0.022673031026253,2.6222140229663,20.4694894904587,41.9,1.6222140229663,37207.2,4.5706269887449
"B1-6-CF","BELM","1","6","Current/Future","6",4,87,12,0.0668,0.0754,0.0079,3.739,10.411,473.291139240506,0.104774535809019,0.872592592592593,6,16,"n",25,NA,NA,24,0.16277,0.4213,NA,NA,2.58831480002457,"straight",8,11,20,319,281,"TM",10,"y",0,15.96,10.57,416,"SB",0.58407,-1.17522353752445,-1.12262865413023,-2.10237290870956,0.0888819441731559,0.57275546515422,1.01749244647728,2.67512837386378,-0.979744254579333,0.403447642204041,-0.788425636517149,-0.375408540873152,-0.233535100161703,0.413017095643997,2.44870631990508,0.0254086538461538,2.61909333062674,20.3960780543711,41.6,1.61909333062674,11689.6,4.06779965053182
"B1-6-F","BELM","1","6","Future","6",3,100,12,0.0588,0.0688,0.0062,2.947,11.064,475.322580645161,0.0901162790697674,0.840255591054313,8,20,"n",29,NA,30,33,0.13508,0.32766,0.0425,0.091844232182219,2.42567367485934,"bent",12,11,26,233,196,"TM",10,"y",0,15.18,9.15,479,"SB",0.46274,-1.23062267392386,-1.16241156176449,-2.20760831050175,0.0787400787401181,0.469380135849925,1.04391216710125,2.67698844635167,-1.04519674873726,0.367532311504717,-0.869408948036626,-0.484576573080813,-0.33466295775441,0.384832374955813,2.29225607135648,0.0191022964509395,2.68033551341456,21.8860686282393,47.9,1.68033551341456,9388.4,3.97259158477104
"B12-1-C","BELM","12","1","Current","4",11,73,20,0.0571,0.0694,0.0051,3.353,12.099,657.450980392157,0.0734870317002882,0.808709175738725,4,10,"n",19,NA,18,16,0.0877,0.8546,NA,NA,9.74458380843786,"bent",6,9,54,640,455,"TM",10,"n",6,14.49,8.06,271,"CC",0.9423,-1.24336389175415,-1.15864052954514,-2.29242982390206,0.0714142842854285,0.52543355342882,1.08274947672728,2.81786337733088,-1.13378929435692,0.296141857899217,-1.05700040663396,-0.0682371115188223,-0.0258108088818328,0.988763295115137,2.65801139665711,0.0297416974169742,2.43296929087441,16.4620776331543,27.1,1.43296929087441,12330.5,4.09098068753152
"B12-1-CF","BELM","12","1","Current/Future","7",6,74,10,0.019,0.0262,0.0032,1.219,6.668,380.9375,0.122137404580153,0.68695652173913,6,15,"n",21,NA,NA,22,0.06706,0.23926,NA,NA,3.5678496868476,"bent",6,10,25.5,122,96,"TM",10,"y",0,19.11,12.35,418,"CC",0.30632,-1.72124639904717,-1.58169870868025,-2.49485002168009,0.0565685424949238,0.086003705618382,0.823995591155968,2.58085372729848,-0.91315131299984,0.258959456286114,-1.1735364509072,-0.621129901601025,-0.513824646660369,0.552406549306174,1.98227123303957,0.0295454545454545,2.62117628177504,20.4450483002609,41.8,1.62117628177504,4012.8,3.6034475148146
"B12-1-F","BELM","12","1","Future","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
