"PotID","Treatment","Population","Line","Replicate","Chamber","Flat","Transplanted","DaysToEmergence","EmergenceToBolting","BoltingToRootWashing","BoltingToHarvest","NumEmerged","LeafNumber_PreVern","LeafNumber_Jun6","LeafNumber_Jun13","SL_FreshWt","SL_HydWt","SL_DryWt","SL_Area","SL_Perim","LeafNumber_Total","LeafNumber_Rosette","LeafNumber_UnderLeaves","AG_DryBiomass","BG_DryBiomass","Stomata_avg","SLA","LDMC","RWC","Root_to_Shoot","Stomata_density","l10_DaysToEmergence","l10_SL_FreshWt","l10_SL_HydWt","SQR_SL_HydWt","SQR_SL_DryWt","SQR_SL_Area","l10_SLA","l10_LDMC","l10_LeafNumber_Total","l10_LeafNumber_Rosette","SQR_LeafNumber_UnderLeaves","SQR_AG_DryBiomass","l10_AG_DryBiomass","SQR_BG_DryBiomass","l10_Root_to_Shoot","l10_Stomata_avg","l10_Stomata_density"
"R2-3-C","Current","R",2,"3","2","Current4","no",5,86,3,1,3,8,27,33,0.128,0.1415,0.0153,3.808,10.663,103,48,55,0.6168,0.0786,43.5,248.888888888889,0.108127208480565,0.893026941362916,0.127431906614786,636.014504054897,0.698970004336019,-0.892790030352132,-0.849243560139691,0.376164857476081,0.12369316876853,1.95140974682407,2.39600550889484,-0.96606500904271,2.01283722470517,1.68124123737559,7.41619848709566,0.785366156642874,-0.209855634957099,0.280356915377524,-0.894721819003493,1.63848925695464,2.80346701967229
"R2-3-F","Future","R",2,"3","2","Future4","no",4,87,3,1,4,10,25,35,0.0622,0.0751,0.0105,2.324,7.68,81,51,30,0.4774,0.0499,32.5,221.333333333333,0.139813581890812,0.80030959752322,0.104524507750314,475.183250155957,0.602059991327962,-1.20620961530918,-1.12436006299583,0.274043792120894,0.102469507659596,1.52446712001276,2.34504682464835,-0.85445063793423,1.90848501887865,1.70757017609794,5.47722557505166,0.690941386804988,-0.321117585329264,0.223383079036887,-0.980781869047346,1.51188336097887,2.67686112369652
"R2-4-C","Current","R",2,"4","2","Current3","no",5,84,4,2,4,8,21,31,0.1041,0.1209,0.0145,3.257,8.945,98,44,54,0.574,0.0726,38.5,224.620689655172,0.119933829611249,0.842105263157895,0.126480836236934,562.909388646288,0.698970004336019,-0.982549270489464,-0.917573699139228,0.347706773014274,0.120415945787923,1.80471604414656,2.3514497563299,-0.921058298625797,1.99122607569249,1.64345267648619,7.34846922834953,0.757627876995032,-0.241088107602027,0.26944387170615,-0.89797527169788,1.5854607295085,2.75043849222615
"R2-4-F","Future","R",2,"4","2","Future4","no",4,86,3,1,4,8,21,31,0.0614,0.0765,0.0098,2.302,7.873,63,54,8,0.4452,0.0548,39.5,234.897959183673,0.128104575163399,0.773613193403298,0.123090745732255,577.53041172801,0.602059991327962,-1.21183162885883,-1.11633856484638,0.276586333718787,0.0989949493661166,1.51723432600241,2.37087924360128,-0.892435359461123,1.79934054945358,1.73239375982297,2.82842712474619,0.667233092704491,-0.351444844337329,0.234093998214393,-0.909774597178302,1.59659709562646,2.76157485834411
"R21-1-C","Current","R",21,"1","1","Current2","no",5,85,4,1,1,8,22,28,0.1329,0.1558,0.015,3.96,11.028,81,49,32,0.5599,0.0736,43,264,0.0962772785622593,0.837357954545455,0.131452045008037,628.703992514036,0.698970004336019,-0.876475019057268,-0.807432546663454,0.394715087119811,0.122474487139159,1.98997487421324,2.42160392686983,-1.01647619428086,1.90848501887865,1.69019608002851,5.65685424949238,0.748264659061217,-0.251889532505016,0.271293199325011,-0.881232653157485,1.63346845557959,2.79844621829724
"R21-1-F","Future","R",21,"1","1","Future2","no",3,84,0,0,2,8,22,32,0.038,0.0471,0.0074,1.434,6.05,66,NA,NA,0.4128,0.0468,48,193.783783783784,0.157112526539278,0.770780856423174,0.113372093023256,701.809107922645,0.477121254719662,-1.42021640338319,-1.3269790928711,0.217025344142107,0.0860232526704263,1.19749739039382,2.28731743160081,-0.80378918739792,1.81954393554187,NA,NA,0.64249513616836,-0.384260311380845,0.216333076527839,-0.945493835545031,1.68124123737559,2.84621900009324
"R21-2-C","Current","R",21,"2","1","Current1","no",5,84,4,2,2,8,17,20,0.0762,0.0862,0.0105,2.6,8.672,56,39,17,0.3549,0.0487,33.5,247.619047619048,0.121809744779582,0.867899603698811,0.137221752606368,489.804273237679,0.698970004336019,-1.1180450286604,-1.06449273417529,0.293598365118064,0.102469507659596,1.61245154965971,2.39378404890088,-0.914317966754775,1.7481880270062,1.5910646070265,4.12310562561766,0.595734840344259,-0.449894000652407,0.220680764907139,-0.862577038132958,1.52504480703685,2.69002256975449
"R21-2-F","Future","R",21,"2","1","Future1","no",4,90,NA,0,3,9,20,30,0.0575,0.07,0.0113,2.203,7.58,56,52,4,0.5162,0.0482,46,194.955752212389,0.161428571428571,0.787052810902896,0.0933746609841147,672.567061759201,0.602059991327962,-1.24033215531037,-1.15490195998574,0.264575131106459,0.106301458127346,1.4842506526864,2.28993605366735,-0.792019596530837,1.7481880270062,1.7160033436348,2,0.718470597867442,-0.28718199979215,0.219544984001001,-1.029770961969,1.66275783168157,2.82773559439922
"R21-3-C","Current","R",21,"3","2","Current3","no",5,86,3,1,2,7,18,22,0.1001,0.1127,0.012,3.113,8.783,81,42,39,0.467,0.0578,45.5,259.416666666667,0.106477373558119,0.874875868917577,0.123768736616702,665.25655021834,0.698970004336019,-0.999565922520681,-0.948076083953894,0.33570820663189,0.109544511501033,1.76436957579754,2.41399787463489,-0.972742669998482,1.90848501887865,1.6232492903979,6.2449979983984,0.683373982530796,-0.330683119433888,0.240416305603426,-0.907389042145583,1.65801139665711,2.82298915937476
"R21-3-F","Future","R",21,"3","2","Future3","no",5,NA,NA,NA,2,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
