"PotID","Treatment","Line.x","Chamber","Flat","BoltingDate","HarvestDate","SingleLeaf_FreshWt.g.","TotalLeafNumber","RosetteLeafNumber","UnderLeavesNumber","LongestRootLength_cm","SingleLeafHydratedWt.g.","RootHarvestDate","Notes.x","LeafNumber_6.6.2022","LeafNumber_6.13.2022","AG_DryBiomass.g.","BG_DryBiomass.g.","SingleLeafDryWt.g.","Notes.","Label","Area","Perim.","Population","Line.y","Replicate","Emergence.Date","Leaf.Number.PreVern..post.transplant","transplanted","transplant_notes","Number.Emerged","Notes.y","Stom_avg","Emergence","Bolting","Harvest","RootHarvest","EmergenceToBolting","BoltingToRootWashing","BoltingToHarvest"
"B15-1-F","Future",15,1,"Future2","6/20/2022","6/20/2022",0.0494,62,NA,NA,22.3,0.0613,"6/21/2022","SB harvested root",23,36,0.1687,0.0301,0.0063,"New small leaves forming underneath to the left, likely new shoot. 6/13= lots of new leaves all around underneath","B15-1-F_06202022.jpeg",2.942,9.009,"B",15,"1","4/16/2022",12,"no","no",3,"",32.5,5,70,70,71,65,1,0
"B15-2-C","Current",15,1,"Current1","6/23/2022","6/23/2022",0.0665,56,NA,NA,16.5,0.0777,"6/29/2022","",24,30,0.342,0.0494,0.0075,"","B15-2-C_06232022.jpeg",3.067,9.542,"B",15,"2","4/16/2022",10,"no","no",3,"",39.5,5,73,73,79,68,6,0
"B15-2-F","Future",15,1,"Future1","6/22/2022","6/22/2022",0.0345,53,NA,NA,23.5,0.046,"6/23/2022","",25,37,0.2648,0.0397,0.0069,"6/13= has new leaf underneath center when looking top to bottom ","B15-2-F_06222022.jpeg",1.747,7.075,"B",15,"2","4/14/2022",10,"no","no",5,"",60.5,3,72,72,73,69,1,0
"B15-3-C","Current",15,2,"Current4","6/21/2022","6/21/2022",0.0541,45,NA,NA,16.3,0.0599,"6/22/2022","",25,32,0.2453,0.0391,0.0065,"6/13= has new leaf growing underneath to the back when looking top to bottom ","B15-3-C_06212022.jpeg",2.616,8.847,"B",15,"3","4/15/2022",11,"no","no",3,"",24.5,4,71,71,72,67,1,0
"B15-3-F","Future",15,2,"Future3","6/20/2022","6/20/2022",0.0409,55,NA,NA,16.8,0.0556,"6/21/2022","SB harvested root",26,38,0.1845,0.0405,0.0066,"6/13= has a few new little leaves forming underneath around bottom ","B15-3-F_06202022.jpeg",2.485,8.218,"B",15,"3","4/16/2022",12,"no","no",3,"",34.5,5,70,70,71,65,1,0
"B15-4-C","Current",15,2,"Current4","6/22/2022","6/22/2022",0.0539,51,NA,NA,21.3,0.0627,"6/30/2022","",26,34,0.3318,0.0559,0.0065,"Has newshoot to the left underneath when looking from top to bottom at tray. 6/13= looks bigger","B15-4-C_06222022.jpeg",2.46,8.196,"B",15,"4","4/15/2022",10,"no","no",4,"",32,4,72,72,80,68,8,0
"B15-4-F","Future",15,2,"Future4","6/20/2022","6/20/2022",0.0503,68,NA,NA,16.7,0.0657,"6/21/2022","",27,47,0.2678,0.0453,0.008,"6/13= has a ton of new leaves at the bottom underneath","B15-4-F_06202022.jpeg",2.915,9.587,"B",15,"4","4/15/2022",11,"no","to B2-4-C",4,"",40,4,70,70,71,66,1,0
"B15-5-C","Current",15,2,"Current3","6/23/2022","6/23/2022",0.0536,45,NA,NA,19.8,0.0628,"6/29/2022","",23,29,0.2303,0.0393,0.0063,"6/13= has new leaves around bottom at several locations underneath ","B15-5-C_06232022.jpeg",2.329,7.708,"B",15,"5","",9,"yes","yes; from B15-4-F",NA,"",32,NA,73,73,79,NA,6,0
"B15-5-F","Future",15,2,"Future4","6/18/2022","6/19/2022",0.0585,59,NA,NA,14.8,0.0717,"6/20/2022","",21,43,0.1768,0.0259,0.0065,"6/13= has a ton of new leaves at the bottom underneath","B15-5-F_06192022.jpeg",3.231,9.526,"B",15,"5","",10,"yes","yes; from B15-1-C",NA,"",30,NA,68,69,70,NA,2,1
"B2-1-C","Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,"1","",NA,"yes","yes; from B1-3-C",0,"changed geno",NA,NA,NA,NA,NA,NA,NA,NA
"B2-1-F","Future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,"1","4/24/2022",NA,"yes","from B1-4-F",1,"looks empty 5/3; changed geno",NA,13,NA,NA,NA,NA,NA,NA
"B2-2-C","Current",2,1,"Current1","7/10/2022","7/11/2022",0.034,64,29,35,15,0.0412,"7/13/2022","SB harvested root",10,11,0.2051,0.0318,0.0039,"","B2-2-C_07102022.jpeg",1.594,5.875,"B",2,"2","4/22/2022",4,"no","no",2,"kept both, second had 2 leaves and died",37.5,11,90,91,93,79,3,1
"B2-2-F","Future",2,1,"Future2","7/7/2022","7/7/2022",0.0225,36,NA,NA,12.1,0.0283,"7/7/2022","SB harvested root",10,15,0.1465,0.0209,0.0039,"","B2-2-F_07072022.jpeg",1.029,5.344,"B",2,"2","4/24/2022",4,"no","no",2,"",40,13,87,87,87,74,0,0
"B2-3-C","Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,"3","4/26/2022",NA,"yes","yes; from B1-2-C",1,"looks empty 4/19; changed geno",NA,15,NA,NA,NA,NA,NA,NA
"B2-3-F","Future",2,2,"Future3","6/22/2022","6/22/2022",0.0431,46,NA,NA,14.5,0.0574,"6/24/2022","",24,34,0.2123,0.0354,0.007,"","B2-3-F_06222022.jpeg",2.183,8.157,"B",2,"3","4/15/2022",11,"no","no",1,"",50,4,72,72,74,68,2,0
"B2-4-C","Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,"4","4/18/2022",NA,"yes","yes; from B15-4-C",1,"looks empty 4/19; changed geno",NA,7,NA,NA,NA,NA,NA,NA
"B2-4-F","Future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,"4","4/25/2022",NA,"yes","from B15-1-C",1,"looks empty 4/19; changed geno",NA,14,NA,NA,NA,NA,NA,NA
"B3-1-C","Current",3,1,"Current2","6/23/2022","6/23/2022",0.0718,47,NA,NA,14.8,0.0835,"6/29/2022","",25,30,0.3981,0.0522,0.0089,"","B3-1-C_06232022.jpeg",2.962,9.208,"B",3,"1","4/15/2022",10,"no","to B4-1-F",5,"",40.5,4,73,73,79,69,6,0
"B3-1-F","Future",3,1,"Future2","6/20/2022","6/20/2022",0.0491,44,NA,NA,15.3,0.0686,"6/21/2022","SB harvested root",25,37,0.2334,0.0289,0.009,"6/13= has new leaf forming underneath on the center and right when looking top to bottom ","B3-1-F_06202022.jpeg",2.524,8.665,"B",3,"1","4/15/2022",11,"no","no",4,"",38,4,70,70,71,66,1,0
"B3-2-C","Current",3,1,"Current1","6/26/2022","6/27/2022",0.0474,34,NA,NA,17,0.0575,"6/30/2022","",19,22,0.1801,0.0233,0.0059,"","B3-2-C_06272022.jpeg",2.223,7.485,"B",3,"2","4/16/2022",7,"no","no",3,"",45,5,76,77,80,71,4,1
"B3-2-F","Future",3,1,"Future1","6/20/2022","6/20/2022",0.0446,46,NA,NA,16.6,0.0613,"6/21/2022","SB harvested root",25,34,0.2192,0.0268,0.0077,"","B3-2-F_06202022.jpeg",2.276,8.673,"B",3,"2","4/14/2022",10,"no","no",2,"",37.5,3,70,70,71,67,1,0
"B3-3-C","Current",3,2,"Current3","6/23/2022","6/23/2022",0.0594,34,NA,NA,12.7,0.07,"6/28/2022","",21,27,0.2594,0.0271,0.0074,"6/13= has new leaf growing underneath to the right when looking top to bottom ","B3-3-C_06232022.jpeg",2.407,8.952,"B",3,"3","4/15/2022",10,"no","to B4-3-F",4,"",34,4,73,73,78,69,5,0
"B3-3-F","Future",3,2,"Future4","6/19/2022","6/19/2022",0.0439,43,NA,NA,15.1,0.0576,"6/20/2022","",26,32,0.1887,0.0214,0.0061,"6/13= has new leaf forming underneath on the center when looking top to bottom ","B3-3-F_06192022.jpeg",2.286,8.37,"B",3,"3","4/15/2022",10,"no","no",2,"",39.5,4,69,69,70,65,1,0
"B3-4-C","Current",3,2,"Current3","6/23/2022","6/23/2022",0.0653,44,NA,NA,16.1,0.0744,"6/28/2022","",25,30,0.2701,0.0394,0.0096,"","B3-4-C_06232022.jpeg",2.458,8.16,"B",3,"4","4/15/2022",11,"no","no",5,"",42,4,73,73,78,69,5,0
"B3-4-F","Future",3,2,"Future3","6/20/2022","6/20/2022",0.0519,52,NA,NA,18,0.0712,"6/21/2022","",25,41,0.2131,0.0317,0.0082,"6/13= has a ton of new leaves at the bottom underneath","B3-4-F_06202022.jpeg",2.604,8.738,"B",3,"4","4/15/2022",10,"no","to B4-4-F",NA,"",46.5,4,70,70,71,66,1,0
"B3-5-C","Current",3,1,"Current2","6/22/2022","6/22/2022",0.063,45,NA,NA,15,0.0765,"6/27/2022","",23,29,0.3413,0.0381,0.0074,"6/13- Has new leaves groing out of the left side when looking top to bottom underneath","B3-5-C_06222022.jpeg",2.825,8.627,"B",3,"5","",10,"yes","yes; from B3-1-C",NA,"",41.5,NA,72,72,77,NA,5,0
"B3-6-C","Current",3,2,"Current4","6/22/2022","6/22/2022",0.0528,36,NA,NA,13.6,0.0635,"6/27/2022","",21,26,0.1957,0.0222,0.0061,"","B3-6-C_06222022.jpeg",2.34,7.785,"B",3,"6","",8,"yes","yes; from B3-3-C",NA,"",31.5,NA,72,72,77,NA,5,0
"B3-7-F","Future",3,2,"Future4","6/19/2022","6/19/2022",0.0487,43,NA,NA,16.6,0.065,"6/20/2022","",26,34,0.1959,0.0217,0.0069,"6/13= has a ton of new leaves growing underneath in back, very little. ","B3-7-F_06192022.jpeg",2.514,7.907,"B",3,"7","",9,"yes","yes; from B3-4-F",NA,"",42.5,NA,69,69,70,NA,1,0
"B4-1-C","Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,"1","",NA,"yes","yes; from B8-2-C",0,"changed geno",NA,NA,NA,NA,NA,NA,NA,NA
"B4-1-F","Future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,"1","",NA,"yes","from B3-1-C",0,"changed geno",NA,NA,NA,NA,NA,NA,NA,NA
"B4-2-C","Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,"2","",NA,"yes","yes; from B8-3-C",0,"changed geno",NA,NA,NA,NA,NA,NA,NA,NA
"B4-2-F","Future",4,1,"Future2","6/27/2022","6/27/2022",0.023,42,NA,NA,17.7,0.0295,"6/30/2022","",12,17,0.0854,0.0167,0.0038,"","B4-2-F_06272022.jpeg",1.29,5.719,"B",4,"2","4/22/2022",4,"no","no",2,"left 2 to transplant later -> down to 1 on 5/30",33.5,11,77,77,80,66,3,0
"B4-3-C","Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,"3","",NA,"yes","yes; from B8-4-C",0,"changed geno",NA,NA,NA,NA,NA,NA,NA,NA
"B4-3-F","Future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,"3","",NA,"yes","from B3-3-C",0,"changed geno",NA,NA,NA,NA,NA,NA,NA,NA
"B4-4-C","Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,"4","4/18/2022",NA,"yes","yes; from B8-4-F",1,"looks dead 5/3; changed geno",NA,7,NA,NA,NA,NA,NA,NA
"B4-4-F","Future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,"4","",NA,"yes","from B3-4-F",0,"changed geno",NA,NA,NA,NA,NA,NA,NA,NA
"B8-1-C","Current",8,1,"Current1","6/26/2022","6/27/2022",0.1121,74,NA,NA,18.1,0.133,"6/30/2022","",22,30,0.4246,0.0558,0.0059,"6/13- new little leaves growing from multiple spots underneath bigger leaves from center","B8-1-C_06272022.jpeg",4.879,11.315,"B",8,"1","4/16/2022",8,"no","no",5,"",36,5,76,77,80,71,4,1
"B8-1-F","Future",8,1,"Future2","6/22/2022","6/22/2022",0.0501,55,NA,NA,14.6,0.064,"6/30/2022","",23,36,0.3066,0.0403,0.0094,"6/13= has a ton of new leaves at the bottom underneath, very little. Biggest to the right. ","B8-1-F_06222022.jpeg",2.242,7.961,"B",8,"1","4/14/2022",9,"no","no",4,"",42,3,72,72,80,69,8,0
"B8-2-C","Current",8,1,"Current1","6/24/2022","6/24/2022",0.0578,46,NA,NA,17.2,0.0657,"6/29/2022","rehydrating leaf left for ~41 hrs ",17,22,0.2261,0.0299,0.0058,"","B8-2-C_06242022.jpeg",2.883,7.958,"B",8,"2","4/16/2022",8,"no","to B4-1-C",5,"",33.5,5,74,74,79,69,5,0
"B8-2-F","Future",8,1,"Future2","6/22/2022","6/22/2022",0.0364,52,NA,NA,15.5,0.0515,"6/24/2022","",23,40,0.2788,0.0381,0.0079,"6/13= has a ton of new leaves at the bottom underneath, very little. ","B8-2-F_06222022.jpeg",1.862,6.544,"B",8,"2","4/15/2022",10,"no","no",3,"",34.5,4,72,72,74,68,2,0
"B8-3-C","Current",8,2,"Current4","6/21/2022","6/21/2022",0.0521,56,NA,NA,14.6,0.0611,"6/22/2022","",24,31,0.3208,0.0366,0.0067,"6/13= has new leaf growing underneath to the right when looking top to bottom ","B8-3-C_06212022.jpeg",2.588,7.246,"B",8,"3","4/15/2022",10,"no","to B4-2-C",5,"",30.5,4,71,71,72,67,1,0
"B8-3-F","Future",8,2,"Future3","6/24/2022","6/24/2022",0.0523,49,NA,NA,17.5,0.0678,"6/29/2022","rehydrating leaf left for ~41 hrs ",25,33,0.2686,0.0441,0.0099,"Has new leaf coming out of middle bottom when looking top to bottom. New shoot likely. 6/13= has some new little ones","B8-3-F_06242022.jpeg",2.4,8.021,"B",8,"3","4/16/2022",10,"no","no",5,"",47.5,5,74,74,79,69,5,0
"B8-4-C","Current",8,2,"Current4","6/23/2022","6/23/2022",0.0469,50,NA,NA,18.2,0.0543,"6/28/2022","",21,25,0.4142,0.0558,0.0065,"","B8-4-C_06232022.jpeg",2.164,7.177,"B",8,"4","4/15/2022",10,"no","to B4-3-C",3,"",35,4,73,73,78,69,5,0
"B8-4-F","Future",8,2,"Future3","6/24/2022","6/24/2022",0.0621,68,NA,NA,14.9,0.0843,"6/30/2022","rehydrating leaf left for ~41 hrs ",23,33,0.3736,0.046,0.0125,"6/13= has new leaf forming underneath on the right when looking top to bottom ","B8-4-F_06242022.jpeg",2.91,8.206,"B",8,"4","4/16/2022",9,"no","to B4-4-C",4,"",35.5,5,74,74,80,69,6,0
"B8-5-F","Future",8,2,"Future4","6/19/2022","6/19/2022",0.0371,41,NA,NA,15.9,0.0497,"6/21/2022","",20,33,0.1657,0.0335,0.0056,"6/13= has a ton of new leaves at the bottom underneath, very little. ","B8-5-F_06192022.jpeg",2.083,7.651,"B",8,"5","",9,"yes","yes; from B8-2-C",NA,"",40,NA,69,69,71,NA,2,0
"B8-6-F","Future",8,1,"Future1","6/23/2022","6/23/2022",0.0547,54,NA,NA,16.3,0.0765,"6/28/2022","",21,38,0.31,0.0414,0.0121,"6/13= has a ton of new leaves at the bottom underneath, very little. ","B8-6-F_06232022.jpeg",2.533,7.72,"B",8,"6","",9,"yes","yes; from B8-3-C",NA,"",43,NA,73,73,78,NA,5,0
"B8-7-C","Current",8,1,"Current2","6/26/2022","6/27/2022",0.0833,66,NA,NA,16.3,0.0973,"7/5/2022","",20,24,0.4278,0.0671,0.011,"","B8-7-C_06272022.jpeg",3.564,9.965,"B",8,"7","",8,"yes","yes; from B8-4-C",NA,"",40.5,NA,76,77,85,NA,9,1
"B8-8-C","Current",8,2,"Current3","6/27/2022","6/27/2022",0.0897,60,NA,NA,14.3,0.1062,"7/6/2022","",23,27,0.848,0.0879,0.0109,"","B8-8-C_06272022.jpeg",3.966,10.104,"B",8,"8","",10,"yes","yes; from B8-4-F",NA,"",46,NA,77,77,86,NA,9,0
"R11-1-C","Current",11,1,"Current2","7/15/2022","7/15/2022",0.0967,101,53,48,16.9,0.111,"7/20/2022","SB harvested root, single leaf in fridge around ~51hrs",20,27,0.7972,0.0576,0.0134,"","R11-1-C_07152022.jpeg",3.201,10.252,"R",11,"1","4/15/2022",10,"no","no",4,"",52,4,95,95,100,91,5,0
