Population,Line,Replicate,Treatment,Pot ID,Harvest Date,rosette leaf num,fresh rosette mass (g),dried rosette mass (g),Fresh reproductive mass (g),Dry reproductive mass (g),Fresh root mass (g),Dry root masss (g),
BELM,12,2,Future,B12-2-F,11/4/2021,26,0.5484,0.08423,0.9941,0.29186,-,,
BELM,15,1,Future,B15-1-F,11/4/2021,30,0.6328,0.10569,1.1908,0.28721,-,,
BELM,15,2,Future,B15-2-F,11/3/2021,33,1.2005,0.16374,1.2909,0.3576,-,,
RODA,2,1,Future,R2-1-F,11/24/2021,40,-,0.19398,-,0.29896,-,,
RODA,2,2,Future,R2-2-F,11/24/2021,36,-,0.13356,-,0.21657,-,,
RODA,8,1,Future,R8-1-F,12/16/2021,37,-,0.05134,-,0.1524,-,,
RODA,8,2,Future,R8-2-F,11/24/2021,39,-,0.12699,-,0.19108,-,,
RODA,9,2,Future,R9-2-F,11/24/2021,36,-,0.15901,-,0.26498,-,,
RODA,11,1,Future,R11-1-F,11/18/2021,43,-,0.23935,-,0.26755,-,,
RODA,11,2,Future,R11-2-F,11/18/2021,45,-,0.23688,-,0.34426,-,,
RODA,15,1,Future,R15-1-F,11/24/2021,45,-,0.17648,-,0.20337,-,,
RODA,15,2,Future,R15-2-F,11/24/2021,40,-,0.11532,-,0.23183,-,,
RODA,21,1,Future,R21-1-F,11/19/2021,35,-,0.16636,-,0.29706,-,,
RODA,21,2,Future,R21-2-F,12/7/2021,40,-,0.27425,-,0.43281,-,,
RODA,26,2,Future,R26-2-F,12/14/2021,37,-,,-,0.4031,-,,mistake in labelling
RODA,29,1,Future,R29-1-F,11/24/2021,36,-,0.16369,-,0.30653,-,,
RODA,29,2,Future,R29-2-F,11/22/2021,36,-,0.1308,-,0.27887,-,,
RODA,33,1,Future,R33-1-F,11/15/2021,35,-,0.14128,-,0.28818,-,,
RODA,33,2,Future,R33-2-F,11/22/2021,36,-,0.12154,-,0.24772,-,,
RODA,35,1,Future,R35-1-F,11/22/2021,41,-,0.22951,-,0.35276,-,,
RODA,35,2,Future,R35-2-F,11/24/2021,36,-,0.16365,-,0.28163,-,,
RODA,40,1,Future,R40-1-F,11/22/2021,35,-,0.13378,-,0.24762,-,,
RODA,40,2,Future,R40-2-F,12/1/2021,35,-,0.12464,-,0.2481,-,,
RODA,47,1,Future,R47-1-F,11/23/2021,36,-,0.27053,-,0.23648,0.85,0.18813,
RODA,47,2,Future,R47-2-F,11/13/2021,37,1.0106,0.20062,1.0377,0.24564,-,,
RODA,47,3,Future,R47-3-F,10/28/2021,38,2.25,0.20367,0.67,0.08428,0.37,0.08225,
RODA,47,4,Future,R47-4-F,10/28/2021,31,1.01,0.12895,0.26,0.0651,0.06,0.04532,
RODA,47,5,Future,R47-5-F,11/23/2021,38,-,0.18823,-,0.20531,0.57,0.11062,
