Population,Line,Replicate,Treatment,Pot ID,pot labelled?,Labelled Pot Weight (g),Pot + dry Soil Weight (g),Soil Added Weight (g),Soil Mix Batch Number,Pot + wet soil weight (g),Water weight (g),H20(g) / soil (g),First Calc of FC weight,oven dried soil (g),oven dried soil + empty pot (W0),g H20 at FC (wf-W0 equivalent),Notes,,,,
,,,,,,,,,g soil pl day/ g oven soil,,,,,,water weight from soak,,H20/oven dried soil,,,,
,,,,,,,,test,2.132289035,,,,,,test,149.67,5.817623508,,,,
,,,,,,,,test 2,2.244510279,,,,,,test 2,144.14,6.470060149,,,,
,,,,,,,,mean,2.188399657,,,,,,mean,,6.143841829,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
