Weigh Order,Population,Line,Replicate,Treatment,Pot ID,LeafNum_ 07222021,Notes,LeafNum_08262021,NumRemoved_08262021,RosetteLeafNum_10042021,StalkLeafNum_10042021,notes,RosetteLeafNum_bolt,notes,RosetteLeafNum_Flower,StalkLeafNum_Flower,notes,,,,,,
43,BELM,13,1,Current/Future,B13-1-CF,0,,0,y,,,,,,,,,,,,,,
44,BELM,3,2,Current/Future,B3-2-CF,7,,18,n,24.00,29.00,box around it; 5 on lateral shoots,,,,,flowered 9/26,,,,,,
45,BELM,1,4,Current/Future,B1-4-CF,7,,19,n,21.00,30.00,14 on lateral (small),,,,,flowered 9/22,,,,,,
46,BELM,3,1,Current/Future,B3-1-CF,6,,17,n,22.00,33.00,20 on lateral,,,,,flowered 9/27,,,,,,
47,RODA,26,2,Current/Future,R26-2-CF,6,,13,n,26.00,0.00,,27,,,,,,,,,,
48,BELM,13,2,Current/Future,B13-2-CF,4,,10,n,18.00,22.00,box around it,,,,,flowered 9/24,,,,,,
49,RODA,15,1,Current/Future,R15-1-CF,6,,14,n,35.00,0.00,,36,,,,,,,,,,
50,RODA,11,1,Current/Future,R11-1-CF,6,,12,n,30.00,0.00,,,check leaf envelope,33,10,flowered 10/22,,,,,,
1,BELM,4,1,Future,B4-1-F,0,,0,y,,,,,,,,,,,,,,
2,RODA,33,2,Future,R33-2-F,7,,18,n,30.00,0.00,,33,,,,,,,,,,
3,BELM,1,6,Future,B1-6-F,8,,20,n,29.00,0.00,,,,30,14,8 leaves are crispy,,,,,,
4,RODA,2,2,Future,R2-2-F,8,,16,n,31.00,0.00,,38,,,,,,,,,,
5,BELM,1,4,Future,B1-4-F,10,,21,n,29.00,9.00,,,,,,flowered 10/4,,,,,,
6,BELM,13,1,Future,B13-1-F,2,looks dead,0,y,,,,,,,,,,,,,,
7,RODA,5,1,Future,R5-1-F,0,,0,y,,,,,,,,,,,,,,
8,RODA,21,1,Future,R21-1-F,7,,16,n,36.00,0.00,,35,,,,,,,,,,
9,RODA,40,2,Future,R40-2-F,5,,14,n,35.00,0.00,,35,,,,,,,,,,
10,RODA,35,2,Future,R35-2-F,7,,16,n,34.00,0.00,,35,,,,,,,,,,
11,RODA,47,2,Future,R47-2-F,8,,18,n,38.00,0.00,,40,,,,,,,,,,
12,BELM,3,1,Future,B3-1-F,9,,21,n,30.00,21.00,,,,,,flowered 10/4,,,,,,
13,RODA,26,2,Future,R26-2-F,8,,20,n,37.00,0.00,,37,,38,10,,,,,,,
14,BELM,4,2,Future,B4-2-F,0,,0,y,,,,,,,,,,,,,,
15,RODA,8,2,Future,R8-2-F,9,,20,n,31.00,0.00,,36,,42,0,on 10/21/21 which is the day it flowered,,,,,,
16,RODA,15,2,Future,R15-2-F,7,,18,n,32.00,0.00,very compact,39,,,,,,,,,,
17,RODA,29,2,Future,R29-2-F,8,,16,n,36.00,0.00,dark edges 8/26,38,,,,,,,,,,
18,RODA,11,1,Future,R11-1-F,7,,14,n,36.00,0.00,,45,,,,,,,,,,
19,RODA,35,1,Future,R35-1-F,8,,20,n,40.00,0.00,,44,,,,,,,,,,
20,RODA,47,1,Future,R47-1-F,6,,14,n,35.00,0.00,,35,,,,,,,,,,
21,BELM,12,2,Future,B12-2-F,8,,17,n,28.00,34.00,,,,,,flowered 9/28,,,,,,
22,BELM,1,3,Future,B1-3-F,10,,22,n,30.00,29.00,,,,,,flowered 9/29,,,,,,
23,RODA,47,6,Future,R47-6-F,0,,0,y,,,,,,,,,,,,,,
24,RODA,47,4,Future,R47-4-F,6,,13,n,31.00,0.00,,35,,,,,,,,,,
25,BELM,1,1,Future,B1-1-F,9,,18,n,27.00,29.00,,,,,,flowered 9/29,,,,,,
26,RODA,29,1,Future,R29-1-F,9,,18,n,35.00,0.00,,39,,,,,,,,,,
27,RODA,9,1,Future,R9-1-F,0,,0,y,,,,,,,,,,,,,,
28,RODA,15,1,Future,R15-1-F,8,,20,n,31.00,30.00,,44.00,counted 43 on 10/18,,,,,,,,,
29,RODA,11,2,Future,R11-2-F,8,,18,n,42.00,0.00,,48,,,,,,,,,,
30,BELM,2,1,Future,B2-1-F,4,,6,n,16.00,8.00,,,,16,12,,,,,,,
31,RODA,47,3,Future,R47-3-F,7,,17,n,38.00,0.00,,42,,,,,,,,,,
32,RODA,26,1,Future,R26-1-F,0,dead,0,y,,,,,,,,,,,,,,
33,BELM,15,2,Future,B15-2-F,10,,21,n,34.00,28.00,,,,,,flowered 9/27,,,,,,
34,RODA,47,5,Future,R47-5-F,7,,16,n,36.00,0.00,,41,,,,,,,,,,
35,RODA,33,1,Future,R33-1-F,8,,19,n,37.00,0.00,,42,,,,,,,,,,
36,BELM,1,5,Future,B1-5-F,11,,23,n,31.00,41.00,,,,,,flowered 9/29,,,,,,
37,RODA,2,1,Future,R2-1-F,8,,20,n,34.00,0.00,,44,,,,,,,,,,
38,RODA,21,2,Future,R21-2-F,8,,20,n,39.00,0.00,,41,,,,,,,,,,
39,BELM,3,2,Future,B3-2-F,8,,20,n,30.00,20.00,,,,,,flowered 9/30,,,,,,
40,RODA,5,2,Future,R5-2-F,0,,0,y,,,,,,,,,,,,,,
41,RODA,40,1,Future,R40-1-F,7,,16,n,33.00,0.00,,37,,,,,,,,,,
42,RODA,8,1,Future,R8-1-F,8,,18,n,28.00,0.00,,38,,,,,,,,,,
