Population,Line,Replicate,Treatment,Pot ID,Leaf_Collected,FreshWt_g,SatWt_g,DriedWt_g,Notes,LeafArea,LeafPerimeter,Scale (pixels/cm),Notes
RODA,33,2,Future,R33-2-F,10/24/2021,0.0429,0.0508,0.0055,,1.92,7.758,,
RODA,35,2,Future,R35-2-F,10/24/2021,0.0638,0.0747,0.0076,,2.389,9.973,,
RODA,40,1,Future,R40-1-F,10/24/2021,0.0437,0.0527,0.0059,,1.865,8.706,,
RODA,40,2,Future,R40-2-F,10/24/2021,0.0403,0.0512,0.0089,,1.625,7.565,,
RODA,47,3,Future,R47-3-F,10/24/2021,0.053,0.0643,0.0062,,2.382,9.802,,
RODA,47,4,Future,R47-4-F,10/24/2021,0.0419,0.0495,0.0054,,1.832,8.749,,
RODA,2,2,Current,R2-2-C,10/25/2021,0.1821,0.2027,0.016,,6.378,18.053,,
RODA,33,2,Current,R33-2-C,10/25/2021,0.1421,0.1581,0.0124,removed 1 leaf 9/30,5.832,18.342,,
RODA,35,1,Current,R35-1-C,10/25/2021,0.1061,0.1244,0.0096,,4.061,13.741,,
RODA,40,1,Current,R40-1-C,10/25/2021,0.1428,0.1526,0.0129,,5.013,16.067,,
RODA,40,2,Current,R40-2-C,10/25/2021,0.1522,0.18,0.0147,,5.554,17.705,,
RODA,47,2,Current,R47-2-C,10/25/2021,0.0813,0.0928,0.0076,,3.049,12.729,,
RODA,47,5,Current,R47-5-C,10/25/2021,0.0927,0.1088,0.0086,,3.626,12.87,,
RODA,47,6,Current,R47-6-C,10/25/2021,0.109,0.1236,0.0101,,4.599,14.558,,
RODA,8,1,Current,R8-1-C,10/25/2021,0.0913,0.1042,0.0088,,3.723,13.857,,
RODA,9,2,Current,R9-2-C,10/25/2021,0.1391,0.1571,0.0121,,5.226,16.156,,
RODA,26,2,Current/Future,R26-2-CF,10/25/2021,0.0339,0.0369,0.0051,bolt notes. See notebook? Did not find a note,1.609,7.532,,
RODA,2,1,Future,R2-1-F,10/25/2021,0.0619,0.0726,0.0064,,2.569,10.836,,
RODA,21,2,Current,R21-2-C,10/26/2021,0.1431,0.1745,0.0147,,4.872,15.468,,
RODA,26,2,Current,R26-2-C,10/26/2021,0.1231,0.1502,0.0118,looked wilty when collected,4.526,16.241,,
RODA,47,3,Current,R47-3-C,10/26/2021,0.1195,0.1402,0.0107,,4.833,15.829,,
