Population,Line,Replicate,Treatment,Pot.ID,ImageJ_FruitCount,ImageJ_Counter,"bolting stalk (bent, broken, leaning, straight(",num lateral branches from main stalk,num primary stalks from rosette (main included),height main stalk (cm),total fruit num,num fruits collected,fruit collected location,done flowering,number flowers left,Notes,All Fruit Collected Weight (mg),seeds only weight,scanner position,scanned photo name,ImageJ_seed count,SeedCounter,BasiaFruitCount,Notes2
BELM,12,2,Current,B12-2-C,345,TX,leaning,6,8,52.5,698,10,"10,12,15,17,19,21,23,25,27,29",n,4,2 of the primary stalks were noted as tiny,20.63,13.48,6,3,496,CH,410,
BELM,13,1,Current,B13-1-C,220,TM,bent,6,13,59,696,10,"13,15,18,21,23,25,27,29,31,33",n,14,2 of the primary stalks were noted as tiny,16.4,10.64,1,8,474,EA,511,
BELM,13,2,Current,B13-2-C,824,TM,bent,10,10,66,932,10,"12,14,16,18,20,22,24,26,28,30",n,6,1 of the 10 was noted as tiny and 1 additional primary stalk was not counted because noted as no flowers,15.66,9.71,8,5,418,CC,855,
BELM,15,1,Current,B15-1-C,948,TX,bent,9,13,66,1201,10,"24,27,29,31,33,35,37,39,41,43",n,1,1 primary stalk was noted as tiny,18.88,11.87,12,6,531,CC,994,
BELM,15,2,Current,B15-2-C,1069,TM,bent,11,18,63.5,1195,10,"14,16,18,20,22,24,26,28,30,32",n,3,3 primarystalks were noted as tiny,16.36,11.01,1,5,475,CC,806,
RODA,2,1,Current,R2-1-C,574,TM,bent,8,9,62,701,10,"5,7,9,11,13,15,17,18,21,23",n,91,and leaning,26.09,17.37,10,2,751,,567,
RODA,2,2,Current,R2-2-C,730,CC,bent,9,11,74.5,779,10,"4,7,9,11,13,15,17,19,21,24",n,73,has some buds; 3 primary stalks were noted as tiny,28.92,20,12,4,738,SB,702,
RODA,5,1,Current,R5-1-C,366,TX,leaning,7,7,59.5,467,10,"4,6,8,10,12,14,16,18,20,22",n,79,,24.68,16.96,8,2,667,,376,
RODA,8,1,Current,R8-1-C,599,TX,bent,9,11,70,819,10,"6,8,10,12,14,16,18,20,22,24",n,179,could keep going but is dehiscing,29.75,20.35,1,1,722,,647,
RODA,8,2,Current,R8-2-C,645,TX,broken,10,13,63.5,906,10,"2,4,6,8,13,15,20,22,24,26",n,134,1 pirmary stalk is noted as tiny,27.94,18.75,2,1,727,,739,
RODA,9,1,Current,R9-1-C,514,TX,bent,10,12,75,1108,10,"3,6,8,10,14,16,18,20,22,24",n,64,"could keep going a little, 1 open; 1 not counted primary stalk with no flowers",28.59,19.12,9,6,707,CC,974,
