Treatment,PotID,Population,Line,Replicate,Emergence Date,"Leaf Number PreVern, post transplant",transplanted,transplant_notes,Number Emerged,Notes
Future,R8-2-F,R,8,2,4/15/2022,8,no,no,5,
Future,R8-3-F,R,8,3,4/15/2022,9,no,no,4,
Future,R8-4-F,R,8,4,4/15/2022,8,no,no,2,
Future,R11-1-F,R,11,1,4/14/2022,10,no,no,6,
Future,R11-2-F,R,11,2,4/14/2022,11,no,no,5,
Future,R11-3-F,R,11,3,4/15/2022,8,no,no,5,
Future,R11-4-F,R,11,4,4/14/2022,10,no,no,5,
Future,R21-1-F,R,21,1,4/14/2022,8,no,no,2,
Future,R21-2-F,R,21,2,4/15/2022,9,no,no,3,
Future,R21-3-F,R,21,3,4/16/2022,4,no,no,2,kept both
Future,R21-4-F,R,21,4,4/15/2022,8,no,no,1,
Future,R29-1-F,R,29,1,4/15/2022,9,no,no,3,
Future,R29-2-F,R,29,2,4/15/2022,8,no,no,5,
Future,R29-3-F,R,29,3,4/15/2022,8,no,no,3,
Future,R29-4-F,R,29,4,4/15/2022,8,no,no,5,
Future,R35-1-F,R,35,1,4/15/2022,10,no,no,5,
Future,R35-2-F,R,35,2,4/15/2022,8,no,no,4,
Future,R35-3-F,R,35,3,4/15/2022,8,no,no,5,
Future,R35-4-F,R,35,4,4/15/2022,10,no,no,3,
Future,R40-1-F,R,40,1,4/15/2022,8,no,no,6,( 1 maybe not A. thal)
Future,R40-2-F,R,40,2,4/16/2022,9,no,no,4,
Future,R40-3-F,R,40,3,4/16/2022,9,no,no,4,
Future,R40-4-F,R,40,4,4/16/2022,8,no,no,2,
Future,R47-1-F,R,47,1,4/16/2022,8,no,no,1,
Future,R47-2-F,R,47,2,4/14/2022,8,no,no,5,
Future,R47-3-F,R,47,3,4/16/2022,8,no,no,2,
Future,R47-4-F,R,47,4,4/18/2022,4,no,no,2,"kept both, 1 as of 6/6/22"
TEST,B1-X-TEST,B,1,X,4/15/2022,12,no,no,4,thinned on 5/10
TEST,B3-X-TEST,B,3,X,4/15/2022,13,no,no,2,thinned on 5/10
TEST,B8-X-TEST,B,8,X,4/15/2022,12,no,no,5,thinned on 5/10
TEST,B15-X-TEST,B,15,X,4/16/2022,10,no,no,4,thinned on 5/10
TEST,R8-X-TEST,R,8,X,4/15/2022,12,no,no,2,thinned on 5/10
TEST,R21-X-TEST,R,21,X,4/14/2022,16,no,no,2,"thinned on 5/10; looks weird! Like 2 places leaves grow from, should have kept the other one but OK because this is for root extraction. "
TEST,R35-X-TEST,R,35,X,4/15/2022,10,no,no,1,thinned on 5/10
TEST,R47-X-TEST,R,47,X,4/15/2022,10,no,no,5,thinned on 5/10
