Treatment,PotID,Line,Chamber,Flat,BoltingDate ,HarvestDate,SingleLeaf_FreshWt(g),TotalLeafNumber,RosetteLeafNumber,UnderLeavesNumber,LongestRootLength_cm,SingleLeafHydratedWt(g),RootHarvestDate,Notes
Future,R29-4-F,29,2,Future4,7/10/2022,7/11/2022,0.0485,77,50,27,22.5,0.0619,7/13/2022,SB harvested root
Future,R35-1-F,35,1,Future2,7/5/2022,7/5/2022,0.0642,79,,,18.1,0.0735,7/6/2022,
Future,R35-2-F,35,1,Future1,7/12/2022,7/12/2022,0.0495,51,46,5,15.9,0.0625,7/17/2022,
Future,R35-3-F,35,2,Future4,7/12/2022,7/12/2022,0.0442,78,42,36,17,0.0574,7/17/2022,
Future,R35-4-F,35,2,Future3,7/10/2022,7/11/2022,0.0925,74,56,18,16.9,0.1164,7/13/2022,SB harvested root
Future,R40-1-F,40,1,Future2,7/14/2022,7/14/2022,0.0506,75,48,27,15.3,0.0619,7/20/2022,SB harvesed root
Future,R40-2-F,40,1,Future1,7/7/2022,7/7/2022,0.0431,56,,,17.1,0.0577,7/7/2022,
Future,R40-3-F,40,2,Future4,7/7/2022,7/7/2022,0.0384,81,,,18.2,0.0447,7/7/2022,has a lot of small ones from the side/bottom 
Future,R40-4-F,40,2,Future3,7/12/2022,7/12/2022,0.0535,88,55,33,16.5,0.0609,7/17/2022,corrected 
Future,R47-1-F,47,1,Future2,7/9/2022,7/11/2022,0.0532,54,50,4,16.1,0.0703,7/13/2022,SB harvested root
Future,R47-2-F,47,1,Future2,7/5/2022,7/5/2022,0.0516,61,,,20,0.0631,7/6/2022,
Future,R47-3-F,47,2,Future4,7/14/2022,7/14/2022,0.0497,66,54,12,16.3,0.0592,7/20/2022,"SB harvested root, fragile roots"
Future,R47-4-F,47,2,Future3,7/23/2022,7/25/2022,0.0441,86,51,35,17.5,0.0576,7/26/2022,
TEST,B1-X-TEST,,2,,6/16/2022,6/16/2022,0.0885,68,,,,0.1005,6/16/2022,TEST
TEST,B3-X-TEST,,,,,,,,,,,,,TEST
TEST,B8-X-TEST,,,,,,,,,,,,,TEST
TEST,B15-X-TEST,,,,,,,,,,,,,TEST
TEST,R8-X-TEST,,,,,,,,,,,,,TEST
TEST,R21-X-TEST,,2,,6/16/2022,6/16/2022,0.0889,51,,,18,0.1007,6/16/2022,TEST
TEST,R35-X-TEST,,,,,,,,,,,,,TEST
TEST,R47-X-TEST,,,,,,,,,,,,,TEST
